# RESULTS model=gpt-4.1-mini effort=None
############################################################

============================================================
PIPELINE     ID     TRUTH      PRED       CORRECT
============================================================
COT          1      Unknown    Unknown    ✓
COT          2      True       True       ✓
COT          3      Unknown    Unknown    ✓
COT          4      Unknown    Unknown    ✓
COT          5      True       True       ✓
COT          6      Unknown    Unknown    ✓
COT          7      Unknown    Unknown    ✓
COT          8      True       True       ✓
COT          9      Unknown    Unknown    ✓
COT          10     False      False      ✓
COT          11     True       True       ✓
COT          12     Unknown    Unknown    ✓
COT          13     Unknown    Unknown    ✓
COT          14     True       Unknown    ✗
COT          15     True       Unknown    ✗
COT          16     False      False      ✓
COT          17     True       True       ✓
COT          18     False      False      ✓
COT          19     Unknown    Unknown    ✓
COT          20     True       True       ✓
COT          21     Unknown    False      ✗
COT          22     Unknown    Unknown    ✓
COT          23     True       Unknown    ✗
COT          24     Unknown    Unknown    ✓
COT          25     True       True       ✓
COT          26     False      False      ✓
COT          27     True       True       ✓
COT          28     Unknown    Unknown    ✓
COT          29     False      False      ✓
COT          30     True       Unknown    ✗
COT          31     True       True       ✓
COT          32     False      False      ✓
COT          33     Unknown    Unknown    ✓
COT          34     True       Unknown    ✗
COT          35     False      Unknown    ✗
COT          36     True       True       ✓
COT          37     Unknown    Unknown    ✓
COT          38     False      Unknown    ✗
COT          39     Unknown    Unknown    ✓
COT          40     True       True       ✓
COT          41     Unknown    Unknown    ✓
COT          42     Unknown    Unknown    ✓
COT          43     False      False      ✓
COT          44     True       True       ✓
COT          45     False      False      ✓
COT          46     Unknown    Unknown    ✓
COT          47     True       True       ✓
COT          48     True       True       ✓
COT          49     False      False      ✓
COT          50     Unknown    Unknown    ✓
COT          51     False      False      ✓
COT          52     Unknown    Unknown    ✓
COT          53     True       True       ✓
COT          54     Unknown    True       ✗
COT          55     Unknown    Unknown    ✓
COT          56     Unknown    Unknown    ✓
COT          57     False      False      ✓
COT          58     True       True       ✓
COT          59     True       True       ✓
COT          60     Unknown    Unknown    ✓
COT          61     True       True       ✓
COT          62     True       True       ✓
COT          63     False      False      ✓
COT          64     Unknown    True       ✗
COT          65     False      False      ✓
COT          66     True       True       ✓
COT          67     True       True       ✓
COT          68     False      False      ✓
COT          69     Unknown    Unknown    ✓
COT          70     True       True       ✓
COT          71     False      True       ✗
COT          72     False      False      ✓
COT          73     True       True       ✓
COT          74     Unknown    Unknown    ✓
COT          75     True       True       ✓
COT          76     False      False      ✓
COT          77     Unknown    True       ✗
COT          78     True       Unknown    ✗
COT          79     False      Unknown    ✗
COT          80     True       True       ✓
COT          81     True       True       ✓
COT          82     Unknown    Unknown    ✓
COT          83     True       True       ✓
COT          84     False      False      ✓
COT          85     False      False      ✓
COT          86     Unknown    Unknown    ✓
COT          87     True       True       ✓
COT          88     Unknown    Unknown    ✓
COT          89     False      Unknown    ✗
COT          90     True       True       ✓
COT          91     Unknown    Unknown    ✓
COT          92     True       True       ✓
COT          93     False      False      ✓
COT          94     Unknown    Unknown    ✓
COT          95     False      False      ✓
COT          96     True       True       ✓
COT          97     Unknown    Unknown    ✓
COT          98     Unknown    False      ✗
COT          99     False      False      ✓
COT          100    True       True       ✓
COT          101    Unknown    True       ✗
COT          102    Unknown    False      ✗
COT          103    True       True       ✓
COT          104    False      Unknown    ✗
COT          105    Unknown    Unknown    ✓
COT          106    Unknown    Unknown    ✓
COT          107    False      Unknown    ✗
COT          108    True       True       ✓
COT          109    Unknown    False      ✗
COT          110    True       Unknown    ✗
COT          111    False      Unknown    ✗
COT          112    False      False      ✓
COT          113    True       True       ✓
COT          114    Unknown    Unknown    ✓
COT          115    True       True       ✓
COT          116    True       True       ✓
COT          117    Unknown    False      ✗
COT          118    Unknown    Unknown    ✓
COT          119    True       True       ✓
COT          120    Unknown    Unknown    ✓
COT          121    False      False      ✓
COT          122    Unknown    Unknown    ✓
COT          123    False      Unknown    ✗
COT          124    True       Unknown    ✗
COT          125    True       True       ✓
COT          126    Unknown    Unknown    ✓
COT          127    Unknown    Unknown    ✓
COT          128    Unknown    Unknown    ✓
COT          129    True       True       ✓
COT          130    True       True       ✓
COT          131    False      False      ✓
COT          132    True       True       ✓
COT          133    Unknown    Unknown    ✓
COT          134    Unknown    Unknown    ✓
COT          135    Unknown    Unknown    ✓
COT          136    False      False      ✓
COT          137    True       Unknown    ✗
COT          138    Unknown    Unknown    ✓
COT          139    False      False      ✓
COT          140    True       True       ✓
COT          141    True       True       ✓
COT          142    Unknown    Unknown    ✓
COT          143    True       True       ✓
COT          144    Unknown    Unknown    ✓
COT          145    False      False      ✓
COT          146    Unknown    Unknown    ✓
COT          147    False      False      ✓
COT          148    True       True       ✓
COT          149    True       True       ✓
COT          150    True       True       ✓
COT          151    False      False      ✓
COT          152    Unknown    Unknown    ✓
COT          153    True       False      ✗
COT          154    False      True       ✗
COT          155    Unknown    Unknown    ✓
COT          156    False      False      ✓
COT          157    True       True       ✓
COT          158    False      False      ✓
COT          159    False      False      ✓
COT          160    False      False      ✓
COT          161    Unknown    Unknown    ✓
COT          162    True       False      ✗
COT          163    False      True       ✗
COT          164    True       True       ✓
COT          165    False      False      ✓
COT          166    Unknown    Unknown    ✓
COT          167    Unknown    Unknown    ✓
COT          168    True       True       ✓
COT          169    False      False      ✓
COT          170    False      False      ✓
COT          171    False      False      ✓
COT          172    False      False      ✓
COT          173    False      False      ✓
COT          174    Unknown    Unknown    ✓
COT          175    Unknown    Unknown    ✓
COT          176    False      Unknown    ✗
COT          177    True       True       ✓
COT          178    False      False      ✓
COT          179    False      False      ✓
COT          180    False      False      ✓
COT          181    Unknown    Unknown    ✓
COT          182    Unknown    True       ✗
STANDARD     1      Unknown    Unknown    ✓
STANDARD     2      True       True       ✓
STANDARD     3      Unknown    Unknown    ✓
STANDARD     4      Unknown    Unknown    ✓
STANDARD     5      True       True       ✓
STANDARD     6      Unknown    False      ✗
STANDARD     7      Unknown    Unknown    ✓
STANDARD     8      True       True       ✓
STANDARD     9      Unknown    Unknown    ✓
STANDARD     10     False      False      ✓
STANDARD     11     True       True       ✓
STANDARD     12     Unknown    Unknown    ✓
STANDARD     13     Unknown    True       ✗
STANDARD     14     True       Unknown    ✗
STANDARD     15     True       True       ✓
STANDARD     16     False      False      ✓
STANDARD     17     True       True       ✓
STANDARD     18     False      False      ✓
STANDARD     19     Unknown    False      ✗
STANDARD     20     True       True       ✓
STANDARD     21     Unknown    False      ✗
STANDARD     22     Unknown    Unknown    ✓
STANDARD     23     True       Unknown    ✗
STANDARD     24     Unknown    Unknown    ✓
STANDARD     25     True       True       ✓
STANDARD     26     False      Unknown    ✗
STANDARD     27     True       True       ✓
STANDARD     28     Unknown    Unknown    ✓
STANDARD     29     False      False      ✓
STANDARD     30     True       Unknown    ✗
STANDARD     31     True       True       ✓
STANDARD     32     False      False      ✓
STANDARD     33     Unknown    Unknown    ✓
STANDARD     34     True       Unknown    ✗
STANDARD     35     False      Unknown    ✗
STANDARD     36     True       Unknown    ✗
STANDARD     37     Unknown    Unknown    ✓
STANDARD     38     False      Unknown    ✗
STANDARD     39     Unknown    Unknown    ✓
STANDARD     40     True       True       ✓
STANDARD     41     Unknown    Unknown    ✓
STANDARD     42     Unknown    Unknown    ✓
STANDARD     43     False      False      ✓
STANDARD     44     True       True       ✓
STANDARD     45     False      False      ✓
STANDARD     46     Unknown    Unknown    ✓
STANDARD     47     True       True       ✓
STANDARD     48     True       True       ✓
STANDARD     49     False      False      ✓
STANDARD     50     Unknown    Unknown    ✓
STANDARD     51     False      False      ✓
STANDARD     52     Unknown    Unknown    ✓
STANDARD     53     True       True       ✓
STANDARD     54     Unknown    Unknown    ✓
STANDARD     55     Unknown    False      ✗
STANDARD     56     Unknown    Unknown    ✓
STANDARD     57     False      False      ✓
STANDARD     58     True       True       ✓
STANDARD     59     True       True       ✓
STANDARD     60     Unknown    Unknown    ✓
STANDARD     61     True       True       ✓
STANDARD     62     True       True       ✓
STANDARD     63     False      False      ✓
STANDARD     64     Unknown    True       ✗
STANDARD     65     False      False      ✓
STANDARD     66     True       False      ✗
STANDARD     67     True       True       ✓
STANDARD     68     False      False      ✓
STANDARD     69     Unknown    Unknown    ✓
STANDARD     70     True       True       ✓
STANDARD     71     False      True       ✗
STANDARD     72     False      False      ✓
STANDARD     73     True       True       ✓
STANDARD     74     Unknown    Unknown    ✓
STANDARD     75     True       True       ✓
STANDARD     76     False      False      ✓
STANDARD     77     Unknown    True       ✗
STANDARD     78     True       Unknown    ✗
STANDARD     79     False      Unknown    ✗
STANDARD     80     True       True       ✓
STANDARD     81     True       True       ✓
STANDARD     82     Unknown    Unknown    ✓
STANDARD     83     True       True       ✓
STANDARD     84     False      False      ✓
STANDARD     85     False      False      ✓
STANDARD     86     Unknown    Unknown    ✓
STANDARD     87     True       True       ✓
STANDARD     88     Unknown    Unknown    ✓
STANDARD     89     False      False      ✓
STANDARD     90     True       True       ✓
STANDARD     91     Unknown    Unknown    ✓
