Model	Effort	Pipeline	Accuracy	TPR	TNR	TUR	Cost
gpt-5.4-mini	none	COT	110/182 (60.4%)	0.460	0.352	0.954	$0.5157
gpt-5.4-mini	none	STANDARD	118/182 (64.8%)	0.556	0.370	0.969	$0.3776
gpt-5.4-mini	none	LTRAG	132/182 (72.5%)	0.619	0.537	0.985	$0.8490
gpt-5.4-mini	low	COT	117/182 (64.3%)	0.571	0.389	0.923	$0.5802
gpt-5.4-mini	low	STANDARD	122/182 (67.0%)	0.587	0.426	0.954	$0.4806
gpt-5.4-mini	low	LTRAG	138/182 (75.8%)	0.651	0.611	0.985	$0.9689
gpt-5.4-mini	medium	COT	120/182 (65.9%)	0.587	0.426	0.923	$0.8074
gpt-5.4-mini	medium	STANDARD	138/182 (75.8%)	0.683	0.593	0.969	$0.7327
gpt-5.4-mini	medium	LTRAG	138/182 (75.8%)	0.698	0.574	0.969	$1.8240
gpt-5.4-nano	none	COT	133/182 (73.1%)	0.714	0.574	0.877	$0.1716
gpt-5.4-nano	none	STANDARD	109/182 (59.9%)	0.460	0.537	0.785	$0.1539
gpt-5.4-nano	none	LTRAG	137/182 (75.3%)	0.651	0.630	0.954	$0.2580
gpt-5.4-nano	low	COT	135/182 (74.2%)	0.651	0.630	0.923	$0.1995
gpt-5.4-nano	low	STANDARD	142/182 (78.0%)	0.746	0.667	0.908	$0.1862
gpt-5.4-nano	low	LTRAG	137/182 (75.3%)	0.698	0.556	0.969	$0.3491
gpt-5.4-nano	medium	COT	144/182 (79.1%)	0.730	0.704	0.923	$0.2735
gpt-5.4-nano	medium	STANDARD	149/182 (81.9%)	0.810	0.722	0.908	$0.2728
gpt-5.4-nano	medium	LTRAG	148/182 (81.3%)	0.810	0.648	0.954	$0.4848
gpt-5.4-nano	high	COT	146/182 (80.2%)	0.746	0.722	0.923	$0.3093
gpt-5.4-nano	high	STANDARD	149/182 (81.9%)	0.746	0.796	0.908	$0.3237
gpt-5.4-nano	high	LTRAG	145/182 (79.7%)	0.794	0.648	0.923	$0.5927
gpt-3.5-turbo	None	COT	113/182 (62.1%)	0.714	0.630	0.523	$0.3051
gpt-3.5-turbo	None	STANDARD	99/182 (54.4%)	0.841	0.630	0.185	$0.1215
gpt-3.5-turbo	None	LTRAG	127/182 (69.8%)	0.587	0.556	0.923	$0.5265
gpt-4.1-mini	None	COT	149/182 (81.9%)	0.825	0.778	0.846	$0.3486
gpt-4.1-mini	None	STANDARD	149/182 (81.9%)	0.841	0.815	0.800	$0.3209
gpt-4.1-mini	None	LTRAG	140/182 (76.9%)	0.651	0.648	0.985	$0.3759
gpt-4o-mini	None	COT	122/182 (67.0%)	0.746	0.704	0.569	$0.1172
gpt-4o-mini	None	STANDARD	126/182 (69.2%)	0.730	0.741	0.615	$0.0749
gpt-4o-mini	None	LTRAG	131/182 (72.0%)	0.635	0.519	0.969	$0.1476
